species_id,common_name,scientific_name,life_type,category,feeding_status,environment_status,space_status,social_status,care_status,gap_fields,commonness_proxy,risk_proxy,priority_score
"sp_0001","极火虾","Neocaridina davidi var. Red","invertebrate","虾螺蟹","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","launch_cohort","elevated","9"
"sp_0002","水晶虾","Caridina cantonensis var.","invertebrate","虾螺蟹","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","launch_cohort","elevated","9"
"sp_0003","苏拉威西虾","Caridina dennerli","invertebrate","虾螺蟹","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0004","洋葱螺","Vittina turrita","invertebrate","虾螺蟹","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0005","角螺","Clithon corona","invertebrate","虾螺蟹","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0006","恶魔蟹","Geosesarma dennerle","invertebrate","虾螺蟹","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0007","六角恐龙","Ambystoma mexicanum","reptile","两栖/爬宠","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0008","东方蝾螈","Cynops orientalis","reptile","两栖/爬宠","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0009","角蛙","Ceratophrys ornata","reptile","两栖/爬宠","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0010","黑裙鱼","Gymnocorymbus ternetzi","fish","灯科鱼","needs_research","reviewed_supported","reviewed_supported","reviewed_supported","reviewed_supported","feeding","launch_cohort","elevated","14"
"sp_0011","月光鱼","Xiphophorus maculatus","fish","鱼类","needs_research","reviewed_supported","reviewed_supported","reviewed_supported","reviewed_supported","feeding","launch_cohort","elevated","14"
"sp_0012","樱桃灯","Puntius titteya","fish","灯科鱼","needs_research","reviewed_supported","reviewed_supported","reviewed_supported","template_only","feeding|care","launch_cohort","elevated","18"
"sp_0013","小精灵","Otocinclus vittatus","fish","鲶鱼/异型","template_only","reviewed_supported","reviewed_supported","reviewed_supported","template_only","feeding|care","launch_cohort","elevated","17"
"sp_0014","咖啡鼠","Corydoras aeneus","fish","鲶鱼/异型","reviewed_unknown","needs_research","reviewed_supported","reviewed_supported","reviewed_unknown","environment","launch_cohort","elevated","14"
"sp_0015","接吻鱼","Helostoma temminkii","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0016","金波子","Mikrogeophagus ramirezi var. Gold","fish","慈鲷/斗鱼","reviewed_supported","reviewed_supported","reviewed_supported","reviewed_supported","reviewed_supported","","launch_cohort","elevated","9"
"sp_0017","阿卡西短鲷","Apistogramma agassizii","fish","慈鲷/斗鱼","needs_research","reviewed_supported","reviewed_supported","reviewed_supported","reviewed_supported","feeding","catalog_only","elevated","8"
"sp_0018","蓝王子","Chindongo socolofi","fish","慈鲷/斗鱼","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0019","埃及神仙","Pterophyllum altum","fish","慈鲷/斗鱼","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0020","刚果美人","Phenacogrammus interruptus","fish","鱼类","template_only","reviewed_supported","reviewed_supported","reviewed_supported","reviewed_supported","feeding","catalog_only","elevated","7"
"sp_0021","迷你鹦鹉鱼","Amatitlania nigrofasciata var.","fish","慈鲷/斗鱼","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","launch_cohort","elevated","9"
"sp_0022","红利","Lutjanus kasmira","fish","海水鱼","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0023","黄倒吊","Zebrasoma flavescens","fish","海水鱼","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0024","蓝倒吊","Paracanthurus hepatus","fish","海水鱼","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0025","泗水玫瑰","Pterapogon kauderni","fish","海水鱼","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0026","清道夫","Hypostomus plecostomus","fish","鲶鱼/异型","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0027","极火虾","Neocaridina davidi var. Red","invertebrate","虾螺蟹","template_only","needs_research","inherited_reviewed","inherited_reviewed","template_only","feeding|environment|care","catalog_only","elevated","16"
"sp_0028","水晶虾","Caridina cantonensis var.","invertebrate","虾螺蟹","needs_research","needs_research","inherited_reviewed","inherited_reviewed","template_only","feeding|environment|care","catalog_only","elevated","17"
"sp_0029","苏拉威西虾","Caridina dennerli","invertebrate","虾螺蟹","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0030","黄金米虾","Neocaridina davidi var. Yellow","invertebrate","虾螺蟹","needs_research","needs_research","inherited_reviewed","inherited_reviewed","template_only","feeding|environment|care","catalog_only","elevated","17"
"sp_0031","蓝丝绒米虾","Neocaridina davidi var. Blue","invertebrate","虾螺蟹","needs_research","needs_research","inherited_reviewed","inherited_reviewed","template_only","feeding|environment|care","catalog_only","elevated","17"
"sp_0032","洋葱螺","Vittina turrita","invertebrate","虾螺蟹","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0033","角螺","Clithon corona","invertebrate","虾螺蟹","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0034","兔螺","Tylomelania sp.","invertebrate","虾螺蟹","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0035","恶魔蟹","Geosesarma dennerle","invertebrate","虾螺蟹","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0036","豹点螺","Neritina turrita var.","invertebrate","虾螺蟹","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0037","大鳍鱊","Acheilognathus macropterus","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0038","马口鱼","Opsariichthys bidens","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0039","方氏拟腹吸鳅","Pseudogastromyzon fangi","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0040","中华花鳅","Cobitis sinensis","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0041","棒花鱼","Abbottina rivularis","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0042","麦穗鱼","Pseudorasbora parva","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0043","圆尾斗鱼","Macropodus ocellatus","fish","慈鲷/斗鱼","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0044","黑叉尾斗鱼","Macropodus spechti","fish","慈鲷/斗鱼","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0045","越南爬岩鳅","Sewellia lineolata","fish","鱼类","template_only","reviewed_supported","reviewed_supported","reviewed_supported","reviewed_supported","feeding","catalog_only","elevated","7"
"sp_0046","中华细鲫","Aphyocypris chinensis","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0047","长臀鮠","Pseudobagrus fulvidraco","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0048","大刺鳅","Mastacembelus armatus","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0049","珍珠赤雷龙","Channa asiatica","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","launch_cohort","elevated","9"
"sp_0050","巴卡雷龙","Channa barca","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0051","光唇鱼","Acrossocheilus fasciatus","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0052","月光鼠","Corydoras hastatus","fish","鲶鱼/异型","reviewed_unknown","reviewed_supported","reviewed_supported","reviewed_supported","reviewed_unknown","","catalog_only","standard","0"
"sp_0053","精灵鼠","Corydoras pygmaeus","fish","鲶鱼/异型","needs_research","reviewed_supported","reviewed_supported","reviewed_supported","template_only","feeding|care","catalog_only","elevated","12"
"sp_0054","红宝石鱼","Hemichromis bimaculatus","fish","硬景/底床","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0055","金刚鹦鹉鱼","Cichlasoma var.","fish","慈鲷/斗鱼","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0056","菠萝鱼","Heros severus","fish","慈鲷/斗鱼","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0057","珍珠虎","Altolamprologus calvus","fish","海水鱼","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0058","九间贝","Neolamprologus multifasciatus","fish","海水鱼","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0059","天堂鱼","Macropodus opercularis","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0060","巧克力曼龙","Sphaerichthys osphromenoides","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0061","飞凤鱼","Semaprochilodus insignis","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0062","红眼灯","Moenkhausia sanctaefilomenae","fish","灯科鱼","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0063","兰寿金鱼","Carassius auratus var. Ranchu","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0064","泰狮金鱼","Carassius auratus var. Oranda","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0065","蝶尾金鱼","Carassius auratus var.","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0066","鹤顶红金鱼","Carassius auratus var.","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0067","珠鳞金鱼","Carassius auratus var.","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0068","水泡金鱼","Carassius auratus var.","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0069","红白锦鲤","Cyprinus carpio var.","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0070","蝴蝶鲤","Cyprinus carpio var. Longfin","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0071","迷你矮珍珠","Hemianthus callitrichoides","plant","鱼类","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
